ParticipantID,Condition,Age,LGBQ,TGD,Rating_Generic,Rating_Name,Sharing,UseThey,GenderBeliefs
3_001,both,53,0,0,4,1,9,1,41
3_002,nametag,21,1,0,6.666666667,7,16,3,0
3_003,nametag,43,0,0,5.666666667,6.333333333,4,2,12
3_004,nametag,50,0,0,5.666666667,4,6,1,22
3_005,intro,37,0,0,6.333333333,1.333333333,4,2,19
3_006,intro,35,1,0,6,6,17,3,0
3_007,intro,32,0,0,4.666666667,5.333333333,9,2,15
3_008,intro,48,0,0,5.666666667,3,9,2,8
3_009,intro,55,0,0,5.333333333,3,2,3,29
3_010,intro,25,0,0,7,5.333333333,10,3,6
